url,title,language,category,site_tracking_codes,personal_information,others,reference_url
http://b4qy5tfoimjaqalvkxiri6g3prb5tzx4u65ttfxd4gsvu3okctnek5qd.onion/product/heroin-lab-tested/,Heroin Lab tested ⦿ USA /EU stock | Anonymous marketplace - guaranted secure escrow system,en,drug,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': []}",
http://bhkwcznz4lfwspejyyjgi4upmiy6p6rcpl2ayw7gbzp6qxnvsaanzyyd.onion/directories-tor-drugs.html,404 Not Found,fr,unknown,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': []}",
http://ygzg6qzkup7xfcq2vl3yogcs6jvrupf5qxujeevmqxbcair6vptfimqd.onion/drugs-tor-dark-web.html,404 Not Found,fr,unknown,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': []}",
http://tomjerr2cwoo2icmq2ijvmao2bjkawhtw2c7n6vmzqzomkyqea2o5dqd.onion/,Home - Tom&Jerry Shop,en,drug,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': ['1643PXmWh6ywz9n7KWp3FteReLfCJRJV']}",
http://jbkj5djmknek5yqkmhzokggot4wa6qq74gyqb2fjbwwy7mjcgvfeblyd.onion/tags/content-catlink/heroin,Search by the «heroin» tag — Ranking of onion sites Links Tor,en,drug,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': []}",
http://bpmv5c5btkcwocecthn4otcewilmtynvbfevfp736ajqc4bsei2oddyd.onion/acic-internet-source-of-drugs-detection-10-years/index.html,404 — Not Found,en,unknown,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': []}",
