url,title,language,category,site_tracking_codes,personal_information,others,reference_url
http://orange36te7f62wgdl55lvswtibjiuxji4f62tlxvdgmwtwedvrczlid.onion/product/I9pT5ejDcqaLrqbq5SGpE8ZxquP823f2,The Orange,en,drug,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': []}",
http://tdef74zmruajphutbzuqlxzpi5btckiypgpfmug6bl235e4mn6xarvad.onion/tdwj/us-woman-charged-for-dark-web-heroin-trafficking/,US Woman Charged For Dark Web Heroin Trafficking – The Dark Web Journal,en,drug,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': []}",
http://grwp24hodrefzvjjuccrkw3mjq4tzhaaq32amf33dzpmuxe7ilepcmad.onion/watch?v=bczHLJ6ClbQ,Chasing Heroin (full film) | FRONTLINE - Invidious,en,drug,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': []}",
http://y2qqzsejjhh43qoh3kpj2spjnxujbjpaz3ccmpcbqwf3nr3y3svjsfad.onion/drugs-dark-web-tor.html,404 Not Found,en,unknown,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': []}",
http://542pazzyrn47artvt3kbrio4rvohpcztwjpd755finbbao2tc54zbmid.onion/drugs-tor-dark-web.html,404 Not Found,en,unknown,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': []}",
http://zirg5bwn5274pg2as7usvhu656niudhaj4mvdwppmjc4ts6ln5fysnad.onion/drugs-deep-web-tor.html,404 Not Found,en,unknown,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': []}",
http://utmelw3dlgnolkwtb7vxa3y5znpqccukuz6syo5bw4ijypkdnsqrhnyd.onion/drugs-darknet.html,404 Not Found,en,unknown,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': []}",
