url,title,language,category,site_tracking_codes,personal_information,others,reference_url
http://hackthisjogneh42n5o7gbzrewxee3vyu6ex37ukyvdw6jm66npakiyd.onion/forums/viewtopic.php?f=42&start=30&t=3331,HackThisSite,en,unknown,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': []}",
http://zyh3rujk7xfffssrxcxap2klfg6mqayb5kqpi23a4tfzsid5meqj4cad.onion/dir/drugs.html,404 Not Found,fr,unknown,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': []}",
http://tape6m4x7swc7lwx2n2wtyccu4lt2qyahgwinx563gqfzeedn5nb4gid.onion/dark-web-drug-dealers-jailed-after-using-auto-bot-to-take-orders,Error 404 - Tape ,en,unknown,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': []}",
http://midnitbettqb4ksvvn2rxlhdmywq3dvhddrsdzdrwfrfdxgpdvtubmid.onion/drugs/?cat=Opioids,Midnight Market,en,unknown,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': []}",
https://www.bbcnewsd73hkzno2ini43t4gblxvycyac5aw4gnv7t2rccijh7745uqd.onion/programmes/p04sj6c7,"Sorry, that page was not found",en,unknown,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': ['34f98a4c8573fabed16dc8acea28feb8']}",
http://4t2u76mri6s72hrr5narpnrlpmhyoyytwor3dpmdt6zsdfg6dqo4yiqd.onion/tor-onion-urls-drugs.html,404 Not Found,fr,unknown,"{'google_analytics': [], 'google_site_verification': []}","{'email': [], 'phone': []}","{'telegram': [], 'bitcoin': []}",
